stella,kitty,1234567890,6,6,2015,6,7,2024,22262015,2106,checking,6,7,2024,5000.0,10.0,1111,
goobert,malone,5062726548,6,5,2001,6,7,2024,21252001,3012,checking,6,7,2024,50.0,1.0,1111,
bella,kitty,6072626116,6,1,2007,6,7,2024,20512007,2336,checking,6,7,2024,10000.0,10.0,1111,
willo,thedog,5067854567,6,6,1993,6,7,2024,23561993,2937,checking,6,7,2024,452.24,23.43,1111,
gooby,booby,4578754675,6,5,1945,6,7,2024,20151945,2043,savings,6,7,2024,10000.0,1.2,1111,
cash,money,6076575647,5,4,1948,6,7,2024,20841948,2802,savings,6,7,2024,20000.0,0.023,1111,
neato,burrito,4567892348,5,4,1945,6,7,2024,20841945,2058,checking,6,7,2024,100000.0,20.0,1234,
testing,testing,1234567890,4,5,1987,6,7,2024,23251987,2217,checking,6,7,2024,6876876.23,234234.2,1111,
a;lskdjf,a;lsdkfj,1234567891,1,1,1111,6,7,2024,19411111,3006,savings,6,7,2024,2.3434234E7,2.34,1111,
gov,df,1234567890,1,1,1112,6,7,2024,20311112,2715,savings,6,7,2024,2.34234234E8,2.34,1111,
gooby,mcbooby,1234567890,1,1,1897,6,7,2024,21211897,3008,checking,6,7,2024,-90000.0,12.0,1234,
dorkus,malorkus,1283948592,1,1,1999,6,7,2024,20911999,2802,savings,6,7,2024,90.0,0.11,1111,goob,doob,5678901245,5,31,1999,6,8,2024,203311999,2767,checking,6,8,2024,700.0,10.0,1111,
goob,odoo,1234567890,4,4,4444,6,8,2024,21444444,2667,checking,6,8,2024,700.0,10.0,1111,
